genes,anterior orbital gyrus,anterior orbital gyrus,anterior orbital gyrus,anterior orbital gyrus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,"inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part",lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,long insular gyri,long insular gyri,long insular gyri,long insular gyri,long insular gyri,long insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,"cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part",CA1 field,CA1 field,CA1 field,CA1 field,CA1 field,CA1 field,CA2 field,CA2 field,CA2 field,CA2 field,CA2 field,CA2 field,CA3 field,CA3 field,CA3 field,CA3 field,CA3 field,CA3 field,CA4 field,CA4 field,CA4 field,CA4 field,CA4 field,CA4 field,subiculum,subiculum,subiculum,subiculum,subiculum,subiculum,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,central nucleus,central nucleus,central nucleus,central nucleus,central nucleus,central nucleus,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,putamen,putamen,putamen,putamen,putamen,putamen,habenular nuclei,habenular nuclei,habenular nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla
CNR1,0.7407,0.7569,0.4219,0.6932,0.8323,0.3887,0.9157,0.7266,0.9514,0.6096,0.6490,0.3913,0.4635,0.6167,0.3773,0.6521,0.7801,0.0486,0.5128,0.6337,0.3292,0.3296,0.8874,0.3392,0.8330,0.7782,0.4574,0.6164,0.7558,0.4503,0.7510,0.7914,0.6680,0.4844,0.5860,0.3343,0.3599,0.4593,0.4137,0.5017,0.8991,0.4368,0.7705,0.5989,0.3740,0.6959,0.4123,0.4731,0.5410,0.4993,0.4844,0.5540,0.5426,0.8518,0.4177,0.5650,0.8093,0.3902,0.5763,0.8274,0.7991,0.6327,0.7799,0.4347,10.573,0.6853,0.7105,0.5544,0.9886,0.6729,0.9647,0.9296,0.7328,0.6789,0.9608,0.9610,0.7075,0.8883,0.8178,0.8750,13.459,14.502,10.636,10.532,10.481,10.756,0.9764,10.335,0.8894,0.8594,0.7018,0.8786,0.9347,11.113,0.1735,0.9818,10.237,12.514,0.7319,0.6837,0.7021,0.6088,0.8387,0.6599,13.679,0.5740,0.9627,0.9977,10.883,11.410,0.7202,0.5143,0.5219,0.7852,11.931,0.9781,0.9833,0.9895,0.8282,0.9958,14.113,11.670,11.139,0.7010,0.4549,0.4802,0.7248,0.5929,-0.0282,0.6183,0.6338,0.8981,0.7773,12.668,0.8773,0.5344,0.6546,0.1560,0.4324,0.3838,11.780,12.822,0.9951,0.7922,12.032,10.060,11.036,0.7675,0.9162,0.5997,10.370,0.8153,11.119,0.9479,0.7791,0.6197,10.173,0.7648,0.3116,0.5483,0.0104,-0.0937,0.1047,-0.1991,12.800,12.037,0.9081,0.7752,11.155,10.754,-0.6998,-0.1685,-0.6551,-0.3914,-0.3031,-0.8662,-0.4079,-0.0172,-17.089,-13.530,-0.6274,-10.232,-12.427,-0.8305,-11.340,-0.9518,-15.195,-0.0027,-0.5874
CNR1,0.4058,0.7786,0.3965,0.6349,0.5281,0.4320,0.7905,0.6984,0.9143,0.6499,0.2931,0.3708,0.3533,0.5698,0.2480,0.9353,0.4151,-0.0069,0.3696,0.5283,0.2201,0.1758,0.5300,0.3890,0.6360,0.6951,0.4111,0.6044,0.4670,0.4063,0.6523,0.7362,0.6933,0.4082,0.2451,0.2886,0.3093,0.4142,0.3168,0.3504,0.4436,0.5065,0.7581,0.5027,0.2618,0.3536,0.4081,0.3545,0.4971,0.4030,0.3551,0.3599,0.5672,0.6806,0.5016,0.5980,0.4358,0.3877,0.4688,0.7968,0.7442,0.6015,0.4789,0.4465,0.7864,0.6690,0.5709,0.5007,0.6543,0.7396,0.8106,0.8783,0.6891,0.5978,0.7868,0.9767,0.6293,0.8506,0.7711,0.9749,11.415,15.141,10.787,10.970,10.885,14.182,14.487,11.245,11.697,0.9035,0.7625,10.696,18.127,12.039,12.277,11.603,11.118,15.679,0.8381,0.5992,0.5292,0.5419,0.7713,0.6937,15.384,0.5721,10.723,11.058,11.911,13.342,19.045,0.3640,0.6990,11.380,12.766,10.980,23.601,0.9758,0.9189,11.595,14.058,13.651,0.9570,0.5632,0.4620,0.5363,0.7111,0.5196,0.6883,0.5981,0.8289,10.723,0.8397,15.413,13.427,0.5739,13.968,0.1786,0.2226,0.5567,10.402,14.271,0.9564,0.8290,13.218,11.815,0.8998,0.8536,0.8936,0.6582,10.707,0.9344,0.9217,0.8668,0.6952,0.5793,11.391,0.9692,0.0325,0.7337,-0.2034,-0.0799,0.0870,-0.4293,12.025,13.725,12.202,0.9158,12.429,12.585,-0.7333,-0.1045,-0.6766,-0.3941,-0.3829,-0.8603,-0.5424,-0.2601,-0.8059,-10.119,-0.7058,-0.9114,-15.997,-0.5573,-0.8774,-0.6466,-13.717,-0.0924,-0.5906
CNR1,0.6671,0.6586,0.3946,0.5776,0.7220,0.4138,0.7712,0.6889,10.650,0.5592,0.5470,0.4473,0.4671,0.5686,0.3334,0.7206,0.5980,0.0537,0.3364,0.5176,0.2873,0.3007,0.6958,0.4671,0.7354,0.6612,0.4230,0.6425,0.6357,0.5322,0.6811,0.6972,0.6950,0.4950,0.4255,0.4366,0.2588,0.3661,0.3593,0.4682,0.6411,0.5400,0.7793,0.5989,0.3206,0.5537,0.5505,0.3823,0.4977,0.4748,0.5032,0.7030,0.7409,0.8616,0.4689,0.5401,0.6092,0.4183,0.6484,0.8120,0.7996,0.5759,0.6932,0.6154,10.101,0.6321,0.7437,0.4903,0.8942,0.7891,0.9434,0.8289,0.7564,0.6826,0.8487,10.690,0.6969,0.8842,0.8095,0.8225,12.085,15.002,10.389,0.9848,10.213,11.210,0.8022,11.271,0.8878,0.7923,0.6826,0.8135,0.7518,12.236,0.8255,0.9889,10.104,12.851,0.6658,0.7012,0.6612,0.5734,0.8094,0.6316,15.050,0.8764,0.9538,0.9656,11.682,0.9422,0.9427,0.3988,0.4582,0.7768,12.375,0.9520,11.572,11.219,0.8521,10.740,14.834,11.187,0.9469,0.5164,0.4196,0.5589,0.7081,0.5548,0.1464,0.6241,0.7996,0.9440,0.8218,13.005,0.9510,0.6878,10.694,0.0084,0.3152,0.4211,0.8892,14.410,0.9277,0.7544,11.845,0.9189,0.9274,0.8873,0.9620,0.6034,10.555,0.7518,0.7639,0.8425,0.5680,0.5519,10.011,0.7823,0.3582,0.8717,-0.0080,-0.0875,0.1522,-0.1731,0.9982,12.848,0.9034,0.7177,11.532,0.9889,-0.4467,-0.0810,-0.6649,-0.1338,-0.2389,-0.7930,-0.3383,-0.0038,-0.6982,-0.6253,-0.4643,-0.9235,-10.889,-0.5694,-11.625,-10.278,-14.695,-0.0781,-0.4357
CNR1,0.5607,0.6810,0.4016,0.5807,0.5889,0.5060,0.7312,0.5821,0.9312,0.6260,0.4217,0.5144,0.4353,0.5017,0.2679,0.7899,0.4038,0.1011,0.3212,0.4141,0.2212,0.1997,0.5702,0.4780,0.5584,0.5950,0.3844,0.5763,0.5625,0.5154,0.5697,0.6256,0.6895,0.3742,0.2923,0.4319,0.2525,0.3623,0.3091,0.3834,0.4204,0.6694,0.6698,0.4468,0.3373,0.4165,0.5367,0.3285,0.4345,0.4075,0.4278,0.4339,0.7236,0.6871,0.5559,0.5392,0.4148,0.4160,0.4642,0.7316,0.6437,0.5134,0.5106,0.6359,0.7288,0.6486,0.5994,0.4875,0.6616,0.7564,0.8282,0.7414,0.6797,0.5769,0.8007,10.007,0.6860,0.8425,0.8049,0.8350,10.129,14.133,11.969,10.093,10.148,11.424,11.433,10.422,11.821,0.7920,0.6794,0.8057,14.960,11.152,11.792,11.186,10.035,13.240,0.7761,0.6029,0.5744,0.5173,0.8105,0.6026,14.863,0.6244,10.375,0.9801,10.680,10.954,17.076,0.4332,0.6608,0.9474,12.806,0.9632,23.344,0.8270,0.8280,11.582,14.245,10.719,0.8169,0.5742,0.6098,0.7025,0.7068,0.5103,0.6716,0.5492,0.9256,10.528,0.7197,11.786,13.529,0.6892,12.237,0.2235,0.3985,0.5342,10.003,13.375,0.9747,0.7976,13.036,10.253,0.8982,0.9359,0.8313,0.7109,10.112,0.8471,0.8263,0.7519,0.8046,0.6221,10.905,0.9190,0.1091,0.7623,-0.1811,-0.0277,0.0884,-0.2333,11.623,13.080,11.645,0.9211,12.402,11.406,-0.7640,-0.1254,-0.6516,-0.3015,-0.3734,-0.8576,-0.5357,-0.1392,-0.5650,-10.554,-0.4972,-0.9025,-11.522,-0.5103,-0.7474,-0.5648,-13.358,-0.1043,-0.3480
CNR1,0.7705,0.7878,0.4310,0.6096,0.9690,0.4873,10.436,0.8341,11.002,0.5964,0.8696,0.4312,0.6649,0.7238,0.4918,0.8079,0.9358,0.0806,0.6258,0.6956,0.3493,0.4034,0.9684,0.4296,0.9886,0.8739,0.4964,0.6807,0.9495,0.5472,0.9200,0.9228,0.7598,0.5178,0.7267,0.4567,0.4353,0.5099,0.3887,0.5973,10.266,0.5876,0.9032,0.6463,0.3787,0.8141,0.5656,0.5042,0.6133,0.5518,0.6453,0.7488,0.6823,10.258,0.5332,0.6237,0.8433,0.3963,0.7373,10.044,0.8659,0.6454,0.9659,0.6766,11.686,0.7774,0.8997,0.5709,10.667,0.7681,11.493,10.112,0.8094,0.8042,0.8314,11.307,0.6953,0.8472,0.8928,0.7371,10.352,15.254,0.9558,0.9949,10.366,10.236,0.4645,11.081,0.4892,0.7868,0.6882,0.6420,0.0848,11.895,-0.8005,0.8284,0.9514,11.045,0.5406,0.6665,0.6214,0.5670,0.9263,0.5757,10.876,0.9598,0.8291,0.8615,10.749,0.8377,0.1987,0.5620,0.0486,0.1285,13.553,10.041,-0.0228,11.258,0.5604,0.6648,16.511,10.568,0.8461,0.3785,0.4586,-0.0152,0.6901,0.4036,-12.290,0.6773,0.6793,0.7641,0.8891,12.350,0.3295,0.6100,0.6464,0.0081,0.5340,0.3779,10.361,14.441,0.8817,0.8573,12.818,10.405,11.231,0.9486,10.339,0.7002,11.061,0.7935,0.8113,0.9998,0.6558,0.5938,10.313,0.7897,0.5907,0.8592,-0.0454,-0.4020,0.0991,-0.0470,10.683,13.559,0.7110,0.7197,12.100,10.834,-0.5907,-0.1232,-0.7120,-0.4070,-0.3334,-10.289,-0.5193,-0.0111,-17.573,-10.289,-0.5244,-12.341,-12.468,-0.6855,-11.993,-12.852,-14.679,-0.2058,-0.7302
CNR1,0.3937,0.8155,0.4310,0.5340,0.5958,0.6403,0.9312,0.6786,0.8927,0.7052,0.5098,0.6810,0.5396,0.5933,0.3070,11.693,0.5525,0.2909,0.5157,0.4633,0.1896,0.2723,0.5797,0.6616,0.7311,0.7098,0.3660,0.5521,0.6595,0.6804,0.7638,0.7148,0.6451,0.3875,0.3891,0.5799,0.4150,0.5209,0.3268,0.4014,0.4979,0.6876,0.8480,0.4271,0.3450,0.4900,0.6720,0.4613,0.5444,0.4452,0.4328,0.5224,0.8248,0.8711,0.6236,0.5511,0.4502,0.5651,0.6322,0.8157,0.6613,0.6048,0.5809,0.8159,0.8321,0.7047,0.6690,0.5824,0.6821,0.8226,0.9160,0.8418,0.6287,0.5942,0.7211,0.8222,0.7340,0.7735,0.7679,0.7475,0.7621,11.864,0.9623,0.9743,0.9059,11.106,0.6112,0.8897,0.8766,0.8151,0.7136,0.7046,0.9595,0.9715,0.8131,10.803,0.9571,11.108,0.6554,0.4049,0.5104,0.5380,0.8249,0.4894,10.969,0.6118,0.9947,0.7918,10.021,0.9331,13.959,0.4035,0.0478,0.3956,13.335,0.9401,18.427,0.8362,0.3873,0.6001,14.099,10.403,0.7650,0.3151,0.6157,0.3225,0.7761,0.4101,0.2848,0.4450,0.8162,0.6681,0.5460,12.357,12.113,0.6654,15.710,-0.0991,0.5522,0.6830,0.8200,12.779,0.8581,0.9324,13.470,0.9866,0.8906,10.553,0.9917,0.8590,10.333,0.9407,0.7255,0.7012,0.6685,0.7069,10.732,0.9691,0.2624,10.423,-0.0089,-0.2325,0.0620,-0.2247,0.8916,13.957,11.533,0.8981,12.432,10.789,-0.6767,-0.2845,-0.8777,-0.1929,-0.4703,-12.651,-0.5790,-0.0940,-0.8004,-10.283,-0.4234,-0.8529,-11.479,-0.1798,-0.9036,-0.5067,-12.803,-0.2339,-0.5443
CNR1,0.7655,0.7139,0.3877,0.4956,0.7055,0.5832,0.8389,0.6666,0.8548,0.6131,0.5282,0.5215,0.5535,0.5894,0.3052,0.8139,0.5832,0.1737,0.4399,0.5607,0.2133,0.2337,0.7373,0.4794,0.6481,0.7331,0.3922,0.5409,0.7918,0.5686,0.7290,0.7379,0.6403,0.3546,0.5006,0.5086,0.4126,0.4323,0.3006,0.3988,0.6542,0.6217,0.7201,0.4711,0.2911,0.5863,0.6104,0.4264,0.4616,0.3951,0.4414,0.6282,0.7078,0.6577,0.5407,0.5224,0.6758,0.4109,0.6154,0.8154,0.6384,0.5379,0.6333,0.6141,0.8179,0.6639,0.6141,0.4701,0.8529,0.7488,0.8857,0.8473,0.6770,0.5819,0.7187,0.9914,0.7951,0.8410,0.8566,0.8467,0.9485,14.483,11.799,11.631,11.043,12.164,0.7066,11.056,10.304,0.9618,0.8499,0.9505,0.7282,12.084,0.6297,10.406,10.856,12.494,0.6721,0.5371,0.6906,0.6333,0.8933,0.6180,11.941,0.8178,0.9462,0.9450,11.007,12.010,11.053,0.5615,0.2349,0.6996,14.078,11.107,13.322,0.9549,0.7442,0.7967,14.304,11.107,0.7315,0.5232,0.6392,0.4856,0.8033,0.4373,0.0111,0.5555,0.8318,0.8208,0.8087,12.423,0.9522,0.6477,13.218,0.1932,0.5100,0.5560,10.712,14.013,0.9599,0.9755,13.794,11.866,11.049,10.338,0.9077,0.8422,10.996,0.8761,0.8993,0.8223,0.7960,0.7903,12.811,10.448,0.3570,0.9138,-0.0082,-0.0987,0.1249,-0.1234,11.026,13.998,10.583,0.8928,13.030,12.098,-0.7249,-0.0431,-0.6353,-0.2185,-0.2268,-10.690,-0.4418,-0.0065,-0.9167,-11.073,-0.5111,-0.8379,-10.974,-0.4366,-0.8141,-0.6018,-11.965,-0.0512,-0.4262
CNR1,0.4818,0.6730,0.4438,0.4594,0.6541,0.5383,0.7736,0.6928,0.9428,0.5035,0.4757,0.4110,0.4429,0.6462,0.4486,0.8745,0.5639,0.1486,0.4193,0.5765,0.2837,0.3266,0.6574,0.4586,0.7659,0.7699,0.4235,0.5990,0.6823,0.6015,0.6841,0.7942,0.5832,0.4275,0.4869,0.5114,0.3628,0.4357,0.3593,0.4329,0.6198,0.6001,0.7060,0.4504,0.2163,0.5603,0.5633,0.3783,0.4908,0.4610,0.4901,0.6117,0.7506,0.6555,0.5399,0.5158,0.6527,0.3436,0.5793,0.7824,0.6618,0.5659,0.6292,0.6666,0.7936,0.5640,0.7295,0.5402,0.8274,0.6788,0.8826,0.8538,0.6708,0.6879,0.8321,10.989,0.8401,0.8701,0.8362,0.8042,10.204,15.606,12.871,12.021,11.686,11.735,0.7101,11.933,10.602,10.712,0.8757,0.9590,0.4693,13.177,0.3885,10.989,10.718,12.555,0.5978,0.6562,0.7201,0.5994,0.8920,0.6228,11.823,0.9819,0.8607,10.064,11.152,11.310,0.6036,0.6656,0.2331,0.4812,13.461,11.472,0.7172,11.571,0.8414,0.8832,15.991,10.460,0.6383,0.5191,0.6510,0.4740,0.5516,0.4447,-0.1948,0.7186,0.7463,0.8500,0.7750,11.788,0.8499,0.7164,12.233,-0.0053,0.5053,0.5870,11.650,14.958,0.9893,0.9772,13.297,11.600,11.618,10.459,0.8980,0.8322,11.083,0.8021,0.9267,10.033,0.8100,0.8626,12.106,10.133,0.6193,0.9388,0.0512,-0.1094,0.0168,-0.0125,11.337,13.937,10.063,0.8993,12.877,12.100,-0.5875,0.1008,-0.6494,-0.2230,-0.0570,-0.9658,-0.4224,-0.0913,-0.8150,-0.8893,-0.5391,-0.7030,-11.715,-0.5408,-0.8307,-0.4555,-10.411,-0.1711,-0.4002
CNR1,0.3441,0.5990,0.4261,0.4784,0.4854,0.4818,0.7334,0.6573,0.9535,0.5208,0.3381,0.4372,0.4558,0.5730,0.3909,0.9830,0.3997,0.1020,0.3679,0.5036,0.1831,0.2663,0.5254,0.4564,0.6261,0.6838,0.4728,0.5796,0.5917,0.5817,0.6326,0.6942,0.6022,0.3666,0.3012,0.5029,0.2553,0.3659,0.3118,0.3647,0.4330,0.6718,0.5871,0.4066,0.2144,0.3888,0.5866,0.3018,0.4426,0.4077,0.4387,0.4718,0.6866,0.5901,0.5667,0.5722,0.4946,0.2913,0.5508,0.7649,0.6545,0.5566,0.4741,0.6790,0.6740,0.5891,0.6719,0.5332,0.6647,0.6906,0.8301,0.7905,0.6865,0.6459,0.8088,11.142,0.8659,0.8631,0.8413,0.7819,0.9441,15.350,13.434,12.212,11.938,11.942,0.8709,12.352,12.419,10.094,0.8321,0.9210,10.643,13.062,11.974,11.721,10.955,12.973,0.7239,0.6355,0.6214,0.5356,0.9087,0.5805,13.013,0.9296,10.291,10.965,11.502,11.054,14.216,0.5850,0.3781,0.7448,14.157,11.227,18.868,10.431,0.8419,0.9421,16.294,10.473,0.6460,0.4943,0.7836,0.6419,0.6051,0.3861,-0.1625,0.6608,0.7968,0.8875,0.8231,11.833,12.166,0.7927,16.477,0.1451,0.4732,0.6734,10.580,14.536,0.9908,10.025,14.485,12.111,10.215,10.468,0.8873,0.9625,11.115,0.8870,0.9203,0.8908,0.8633,0.8027,0.9746,10.597,0.4099,11.183,0.0143,-0.0050,-0.0234,-0.1287,10.770,13.558,11.360,0.9894,14.116,12.403,-0.8428,-0.0143,-0.7713,-0.1779,-0.2129,-0.8986,-0.5366,-0.1896,-0.7367,-0.9323,-0.6421,-0.9396,-11.567,-0.6428,-0.7587,-0.5272,-12.391,-0.1921,-0.3646
CNR1,0.4428,0.5316,0.3949,0.3797,0.5484,0.3329,0.7653,0.6596,0.8555,0.3805,0.2967,0.1901,0.4315,0.6363,0.5971,0.8234,0.4298,-0.0216,0.3146,0.6765,0.3010,0.2956,0.4917,0.2421,0.7814,0.8188,0.4813,0.6025,0.4898,0.5001,0.7252,0.8274,0.5596,0.3976,0.3972,0.3935,0.2848,0.3334,0.3743,0.4148,0.3450,0.4271,0.5861,0.5357,0.0846,0.4544,0.4371,0.2822,0.4449,0.4878,0.5125,0.4612,0.5085,0.6157,0.3843,0.4393,0.5687,0.2035,0.5257,0.8166,0.6462,0.5685,0.5038,0.4312,0.7970,0.4618,0.8700,0.5918,0.7778,0.6050,0.9419,0.8623,0.7279,0.7722,0.8805,13.589,0.8779,0.8975,0.8848,0.7888,11.304,17.810,15.528,12.331,12.722,11.884,0.8710,14.111,12.662,11.282,0.8524,0.9642,0.6934,15.667,0.8095,11.301,11.141,13.390,0.5735,0.8524,0.5039,0.5428,0.9660,0.6442,14.016,11.447,11.319,11.073,12.063,11.794,0.6644,0.8532,0.3523,0.5439,14.521,12.463,10.004,13.972,11.669,10.216,18.423,10.152,0.5229,0.8067,0.7374,0.6755,0.5465,0.4705,-0.4175,0.9930,0.7569,0.8724,0.8995,11.976,0.6968,0.9419,0.9649,0.0418,0.6090,0.5193,13.565,16.451,11.624,0.9760,13.766,12.765,13.200,10.080,0.9285,0.9069,12.496,0.7822,10.825,12.687,0.8525,0.9395,13.006,11.000,0.6990,0.9299,-0.0339,-0.0398,-0.0433,0.0834,13.567,13.561,10.356,0.9657,13.606,13.057,-0.7289,0.3652,-0.7681,0.0357,-0.0577,-10.393,-0.4177,-0.2322,-0.7472,-12.881,-0.7140,-0.8710,-11.081,-0.5036,-0.4792,-0.6153,-11.342,-0.1485,-0.3216
CNR1,0.2515,0.6478,0.4469,0.4491,0.3930,0.3500,0.6822,0.7019,0.9175,0.4930,0.1857,0.2556,0.4370,0.6002,0.5020,0.9853,0.3313,-0.0456,0.2775,0.6233,0.2762,0.2479,0.4374,0.2442,0.5436,0.7927,0.4936,0.5553,0.4473,0.4765,0.6094,0.8052,0.5975,0.3245,0.2619,0.3726,0.2448,0.3871,0.3594,0.3783,0.3007,0.4570,0.6121,0.4375,0.1570,0.3580,0.4214,0.2563,0.4846,0.4304,0.4669,0.3114,0.5221,0.5421,0.5258,0.5773,0.4932,0.1840,0.3962,0.7835,0.6692,0.5742,0.4062,0.4255,0.6475,0.5514,0.7329,0.5411,0.6030,0.6304,0.8139,0.8602,0.6874,0.6960,0.7895,12.357,0.7852,0.8264,0.8184,0.7110,0.8882,16.783,14.401,11.593,11.349,10.961,0.9089,13.412,14.084,10.029,0.7636,0.8932,11.715,14.438,11.192,11.276,10.002,12.583,0.7320,0.7802,0.6056,0.5119,0.8968,0.5728,12.782,0.9120,10.353,10.132,10.173,11.067,14.382,0.6803,0.4971,0.6613,13.586,11.547,19.012,11.370,0.9647,0.8390,15.400,0.9598,0.5231,0.7408,0.8409,0.5913,0.4891,0.3459,0.1996,0.8277,0.9296,0.8028,0.8333,10.825,12.310,0.5727,14.901,0.1202,0.5532,0.6157,11.725,15.835,10.802,0.9653,13.155,12.215,10.215,10.110,0.7564,0.9303,11.260,0.8339,10.162,11.249,0.8686,0.8236,0.9608,0.9863,0.3689,0.9548,-0.1143,-0.0785,-0.0553,-0.0495,11.517,13.365,12.455,10.100,12.819,12.640,-0.9299,0.0637,-0.7330,-0.0518,-0.1157,-0.7800,-0.5303,-0.2616,-0.6920,-0.9716,-0.6129,-0.8593,-13.051,-0.5833,-0.4677,-0.4832,-12.008,-0.3208,-0.3834
CNR1,0.8843,0.2132,0.4155,0.5116,0.7365,0.6050,0.5816,0.3979,14.978,0.4204,0.3829,0.1725,0.4656,0.1901,0.2960,0.5852,0.0865,-0.4101,0.2446,0.0079,0.2235,0.3011,0.7781,0.0585,0.1178,0.2178,0.5144,0.7073,0.6647,0.5102,0.5220,0.3447,0.9700,0.4350,0.5081,0.3231,0.2191,-0.3970,0.2373,0.2201,0.2527,0.5967,0.5527,0.6588,-0.0680,0.5074,0.3542,0.3938,0.0337,0.5713,0.3449,0.7204,0.9335,0.7225,0.5725,0.4755,0.7983,0.1646,0.8087,0.6143,0.7472,0.4658,0.6041,0.7535,0.6514,0.0998,0.7693,0.3343,0.8635,0.4400,0.8818,0.5749,0.9031,0.8238,0.9751,22.234,14.396,14.895,0.8668,15.949,17.035,21.689,20.485,19.972,16.642,20.565,13.437,19.169,15.052,18.511,10.220,18.267,0.9837,19.096,12.623,17.999,13.694,22.979,0.6725,14.913,0.5541,0.6173,0.9109,10.312,18.046,0.3877,15.731,19.870,15.383,13.480,0.3840,0.9845,10.119,19.170,11.390,10.356,10.279,16.236,0.9253,21.549,12.407,14.363,12.040,0.5091,0.1163,13.065,0.4376,0.7863,0.5953,0.6415,0.5074,15.287,12.194,13.490,0.3161,0.7158,-0.0489,-0.0377,-0.6754,0.4622,16.953,16.724,15.490,15.273,12.421,20.334,14.018,0.9738,16.059,10.167,13.395,0.7745,12.945,15.718,10.217,13.863,17.084,16.917,0.4726,0.4907,-0.0013,0.3199,0.1905,-0.5906,18.923,15.309,14.801,14.818,16.503,17.499,-13.811,0.3281,-26.417,-0.8251,-0.4841,-0.4150,-0.8098,-0.7229,-10.680,-13.288,-0.8966,-0.4842,-0.6663,-14.726,-13.118,-11.303,-12.646,-0.0216,0.1702
CNR1,12.830,0.4936,0.5959,0.6314,0.9722,0.7193,0.8732,0.5814,13.336,0.6230,0.4928,0.4787,0.5884,0.5037,0.5986,0.5029,0.3180,0.0962,0.1689,0.1825,0.2610,0.2838,0.9896,0.2725,0.3574,0.4057,0.5906,0.8348,0.7808,0.6715,0.8692,0.4085,0.6829,0.4336,0.5660,0.4973,0.3742,-0.1448,0.4116,0.4743,0.4866,0.8830,0.7916,0.8072,0.3870,0.6337,0.5799,0.3619,0.2761,0.5858,0.5159,0.9017,11.034,0.7397,0.6132,0.5720,0.9366,0.2886,0.6173,0.5409,0.9066,0.3956,0.7779,0.9078,10.859,0.1876,0.8765,0.3853,0.9350,0.7526,0.9723,0.6469,0.8884,0.8787,10.157,18.937,0.9579,13.012,0.5749,13.325,16.226,18.884,15.489,17.096,15.750,16.552,10.429,15.040,11.692,15.998,0.9320,15.385,0.8779,15.896,0.4263,15.078,12.669,19.157,0.6169,12.795,0.3774,0.8498,0.7032,0.9104,11.949,0.5434,18.923,18.559,11.583,15.757,0.8621,0.8443,0.4261,19.685,0.7427,0.8547,0.1688,12.309,14.815,16.116,14.027,13.797,10.580,0.5439,-0.1946,0.7985,0.9075,0.9124,0.2387,10.722,-0.6298,12.349,12.421,15.622,0.1054,0.6654,0.4612,0.7041,-0.6914,0.1951,16.674,13.295,13.328,12.073,11.464,16.095,13.713,13.104,14.913,0.8262,12.970,0.8165,13.626,13.129,11.229,11.429,12.902,13.375,0.5092,0.0171,-0.0309,0.0946,0.2955,-0.4410,17.042,14.126,15.316,12.471,13.136,15.560,-0.9351,0.1937,-17.296,-0.7312,-0.7825,-0.6981,-0.4038,-0.4500,-14.377,-0.5837,-0.5721,-19.547,-0.9157,-12.529,-15.349,-14.351,-12.020,-0.1425,-0.6649
